kind,location,area,geocode,rung,slot,query,place,address,distance_km
NORMAL,강릉,"경포호·경포해변 일대",HIT,AREA,MEAL,"경포호","강릉짬뽕순두부 동화가든 본점","강원특별자치도 강릉시 초당순두부길77번길 15 동화가든",1.188
NORMAL,강릉,"경포호·경포해변 일대",HIT,AREA,MEAL,"경포호","나상명강릉초당순두부","강원특별자치도 강릉시 초당순두부길77번길 16 1층 나상명강릉초당순두부",1.213
NORMAL,강릉,"경포호·경포해변 일대",HIT,AREA,MEAL,"경포호","경포동해횟집","강원특별자치도 강릉시 창해로 491 경포동해횟집",1.082
NORMAL,강릉,"경포호·경포해변 일대",HIT,AREA,MEAL,"경포호","초당훈이순두부짬뽕","강원특별자치도 강릉시 초당순두부길55번길 38 1층 102호",1.069
NORMAL,강릉,"경포호·경포해변 일대",HIT,ANCHOR,MEAL,"경포호","강릉짬뽕순두부 동화가든 본점","강원특별자치도 강릉시 초당순두부길77번길 15 동화가든",1.188
NORMAL,강릉,"경포호·경포해변 일대",HIT,ANCHOR,MEAL,"경포호","나상명강릉초당순두부","강원특별자치도 강릉시 초당순두부길77번길 16 1층 나상명강릉초당순두부",1.213
NORMAL,강릉,"경포호·경포해변 일대",HIT,ANCHOR,MEAL,"경포호","경포동해횟집","강원특별자치도 강릉시 창해로 491 경포동해횟집",1.082
NORMAL,강릉,"경포호·경포해변 일대",HIT,ANCHOR,MEAL,"경포호","초당훈이순두부짬뽕","강원특별자치도 강릉시 초당순두부길55번길 38 1층 102호",1.069
NORMAL,강릉,"경포호·경포해변 일대",HIT,LOCATION,MEAL,"강릉","강릉짬뽕순두부 동화가든 본점","강원특별자치도 강릉시 초당순두부길77번길 15 동화가든",1.188
NORMAL,강릉,"경포호·경포해변 일대",HIT,LOCATION,MEAL,"강릉","강릉 수제 어묵고로케","강원특별자치도 강릉시 금성로13번길 8 1층",4.633
NORMAL,강릉,"경포호·경포해변 일대",HIT,LOCATION,MEAL,"강릉","배니닭강정","강원특별자치도 강릉시 금성로13번길 3-1 (성남동)",4.603
NORMAL,강릉,"경포호·경포해변 일대",HIT,AREA,CAFE,"경포호","카페 툇마루","강원특별자치도 강릉시 난설헌로 232 카페 툇마루",1.107
NORMAL,강릉,"경포호·경포해변 일대",HIT,AREA,CAFE,"경포호","갤러리밥스","강원특별자치도 강릉시 난설헌로 144 82-7 갤러리밥스",1.051
NORMAL,강릉,"경포호·경포해변 일대",HIT,AREA,CAFE,"경포호","테라로사 경포호수점","강원특별자치도 강릉시 난설헌로 145",0.970
NORMAL,강릉,"경포호·경포해변 일대",HIT,AREA,CAFE,"경포호","강원옥 찹쌀떡","강원특별자치도 강릉시 초당순두부길 89-8 1층",1.197
