requestId,location,regionTier,keywordSet,day,placeIndex,aiPlaceName,kakaoTotalCount,bestScore,scoreBand,matchedPlaceName,matchedCategory,matchedAddress,matchedPlaceUrl,sourceBatch
2,경주,FAMOUS,B,1,0,불국사,137,8,S8_10,불국사,"문화,예술 > 종교 > 불교 > 절,사찰",경북 경주시 불국로 385,http://place.map.kakao.com/12760573,batch1
2,경주,FAMOUS,B,1,1,석굴암,10,10,S8_10,석굴암전망대,"여행 > 관광,명소 > 전망대",경북 경주시 진현동 산 9-1,http://place.map.kakao.com/17579112,batch1
2,경주,FAMOUS,B,1,2,토함산식당,9,10,S8_10,토함산식당,"음식점 > 한식 > 육류,고기 > 닭요리",경북 경주시 새골길 197,http://place.map.kakao.com/8114811,batch1
2,경주,FAMOUS,B,1,3,국립경주박물관,26,8,S8_10,국립경주박물관,"문화,예술 > 문화시설 > 박물관",경북 경주시 일정로 186,http://place.map.kakao.com/9666845,batch1
2,경주,FAMOUS,B,1,4,교리김밥,5,10,S8_10,교리김밥 경주본점,음식점 > 분식,경북 경주시 탑리3길 2,http://place.map.kakao.com/11807645,batch1
2,경주,FAMOUS,B,1,5,동궁과 월지,8,3,S1_4,동궁과월지,"여행 > 관광,명소 > 연못",경북 경주시 원화로 102,http://place.map.kakao.com/8179010,batch1
2,경주,FAMOUS,B,2,0,대릉원,37,10,S8_10,스타벅스 경주대릉원점,음식점 > 카페 > 커피전문점 > 스타벅스,경북 경주시 첨성로 125,http://place.map.kakao.com/24994872,batch1
2,경주,FAMOUS,B,2,1,첨성대,15,10,S8_10,경주십원빵 첨성대점,"음식점 > 간식 > 제과,베이커리",경북 경주시 첨성로 161,http://place.map.kakao.com/1119886819,batch1
2,경주,FAMOUS,B,2,2,향화정,1,10,S8_10,향화정,음식점 > 한식,경북 경주시 사정로57번길 17,http://place.map.kakao.com/632306474,batch1
2,경주,FAMOUS,B,2,3,황리단길,135,10,S8_10,황리단길,"여행 > 관광,명소 > 테마거리 > 카페거리",경북 경주시 태종로 746,http://place.map.kakao.com/627627078,batch1
2,경주,FAMOUS,B,2,4,대릉원사진관,1,3,S1_4,대릉원흑백사진관,"문화,예술 > 사진 > 사진관,포토스튜디오",경북 경주시 포석로 1081,http://place.map.kakao.com/1701158079,batch1
2,경주,FAMOUS,B,2,5,월정교,7,10,S8_10,월정교,"음식점 > 한식 > 해물,생선",경북 경주시 감포읍 동해안로 1890,http://place.map.kakao.com/1613134148,batch1
