requestId,location,regionTier,keywordSet,outcome,failureDetail,elapsedMs,dayCount,placesPerDay,totalPlaces,curationCurator,curationFallback,curationUnfilled,droppedAfterCuration
1,경주,FAMOUS,A,OK,,22742,3,6/4/6,16,18,0,0,2
2,경주,FAMOUS,B,OK,,20305,3,6/6/6,18,18,0,0,0
3,경주,FAMOUS,C,OK,,26334,3,6/6/6,18,18,0,0,0
4,부산,FAMOUS,A,OK,,20118,3,6/6/6,18,18,0,0,0
5,부산,FAMOUS,B,OK,,22842,3,6/6/6,18,18,0,0,0
6,부산,FAMOUS,C,OK,,20756,3,6/6/6,18,18,0,0,0
7,제주,FAMOUS,A,OK,,29128,3,5/5/6,16,17,1,0,2
8,제주,FAMOUS,B,OK,,20484,3,6/6/6,18,18,0,0,0
9,제주,FAMOUS,C,OK,,24721,3,5/5/7,17,19,0,0,2
10,서울,FAMOUS,A,OK,,20368,3,6/6/6,18,18,0,0,0
11,서울,FAMOUS,B,OK,,21909,3,6/6/6,18,18,0,0,0
12,서울,FAMOUS,C,OK,,22179,3,6/6/6,18,18,0,0,0
13,강릉,FAMOUS,A,OK,,22283,3,6/6/6,18,18,0,0,0
14,강릉,FAMOUS,B,OK,,20540,3,6/6/6,18,18,0,0,0
15,강릉,FAMOUS,C,OK,,27363,3,6/6/6,18,18,0,0,0
16,순천,MINOR,A,OK,,29402,3,6/6/6,18,18,0,0,0
17,순천,MINOR,B,OK,,20502,3,6/6/4,16,18,0,0,2
18,순천,MINOR,C,OK,,26360,3,6/6/6,18,18,0,0,0
19,영주,MINOR,A,OK,,26794,3,6/5/6,17,18,0,0,1
20,영주,MINOR,B,OK,,24719,3,6/5/5,16,18,0,0,2
21,영주,MINOR,C,OK,,26486,3,6/5/6,17,18,0,0,1
22,공주,MINOR,A,OK,,27156,3,6/5/5,16,18,0,0,2
23,공주,MINOR,B,OK,,18865,3,6/5/4,15,18,0,0,3
24,공주,MINOR,C,OK,,30083,3,7/7/5,19,21,0,0,2
25,통영,MINOR,A,OK,,29094,3,7/6/6,19,19,0,0,0
26,통영,MINOR,B,OK,,21937,3,6/6/6,18,18,0,0,0
27,통영,MINOR,C,OK,,29106,3,6/6/5,17,18,0,0,1
28,삼척,MINOR,A,OK,,22143,3,6/6/6,18,18,0,0,0
29,삼척,MINOR,B,OK,,21007,3,6/6/6,18,18,0,0,0
30,삼척,MINOR,C,OK,,21889,3,6/6/6,18,18,0,0,0
