location,aiPlaceName,rank,candidateName,categoryName,categoryGroupCode,address,placeUrl,x,y,score,gatePass,containsDirection,prefixRest,suffixRest
경주,경주 동부 사적지대,0,경주 동부 사적지대,"여행 > 관광,명소 > 문화유적 > 유적지",,경북 경주시 황남동 104-1,http://place.map.kakao.com/12629551,129.21793616052602,35.83536699603137,8,true,EXACT,,
경주,경주 황남리 고분군,0,황남리고분군,"여행 > 관광,명소 > 문화유적 > 릉,묘,총",,경북 경주시 계림로 9,http://place.map.kakao.com/8179016,129.21319151973745,35.83983358560991,3,true,AI_LONGER,,
경주,고도리,0,고도리,음식점 > 술집,FD6,경북 경주시 포석로 1074,http://place.map.kakao.com/349223979,129.209789251684,35.8367416643224,10,true,EXACT,,
경주,무궁미가,0,무궁미가,여행 > 기념품판매,,경북 경주시 포석로1095번길 6,http://place.map.kakao.com/1900128504,129.20927011234116,35.83881010301124,8,true,EXACT,,
경주,양지다방,0,양지다방,음식점 > 카페,CE7,경북 경주시 사정로57번길 7-2,http://place.map.kakao.com/599889357,129.209207485633,35.8372704666191,10,true,EXACT,,
경주,큰기와 황리단길 본점,-1,,,,,,,,,,,,
경주,월정교,0,경주춘양교지,"여행 > 관광,명소 > 문화유적",,경북 경주시 인왕동 921-1,http://place.map.kakao.com/12706099,129.22614089954646,35.82843036862392,3,false,DISJOINT,,
경주,월정교,1,월정교,"여행 > 관광,명소 > 문화유적",,경북 경주시 교동 274,http://place.map.kakao.com/1839209698,129.21812129691938,35.82929954620109,8,true,EXACT,,
경주,월정교,2,월정교 주차장,"교통,수송 > 교통시설 > 주차장",PK6,경북 경주시 교동 153-5,http://place.map.kakao.com/182251458,129.21538412500448,35.82795343347463,8,true,CANDIDATE_LONGER,,주차장
경주,월정교,3,월정교 주차장화장실,"가정,생활 > 화장실",,경북 경주시 교동 155-2,http://place.map.kakao.com/1538567641,129.215750524949,35.8283971990151,8,true,CANDIDATE_LONGER,,주차장화장실
경주,월정교,4,월정교,"음식점 > 한식 > 해물,생선",FD6,경북 경주시 감포읍 동해안로 1890,http://place.map.kakao.com/1613134148,129.494138377529,35.7773018587763,10,true,EXACT,,
