requestId,location,regionTier,keywordSet,day,placeIndex,aiPlaceName,bestScore,scoreBand,matchedPlaceName,matchedCategory,matchedAddress,matchedPlaceUrl,rejectedCandidateName,matchedX,matchedY,matchedCategoryGroupCode
2,경주,FAMOUS,B,1,0,불국사,8,S8_10,불국사,"문화,예술 > 종교 > 불교 > 절,사찰",경북 경주시 불국로 385,http://place.map.kakao.com/12760573,,129.3318426090494,35.78991466172384,
2,경주,FAMOUS,B,1,1,석굴암,8,S8_10,석굴암,"문화,예술 > 종교 > 불교 > 절,사찰",경북 경주시 석굴로 238,http://place.map.kakao.com/8361996,,129.35052073446747,35.79524166200299,
2,경주,FAMOUS,B,1,2,토함산식당,10,S8_10,토함산식당,"음식점 > 한식 > 육류,고기 > 닭요리",경북 경주시 새골길 197,http://place.map.kakao.com/8114811,,129.312736540521,35.798541805332,FD6
2,경주,FAMOUS,B,1,3,국립경주박물관,8,S8_10,국립경주박물관,"문화,예술 > 문화시설 > 박물관",경북 경주시 일정로 186,http://place.map.kakao.com/9666845,,129.22795026492514,35.829233895353426,CT1
2,경주,FAMOUS,B,1,4,교리김밥,10,S8_10,교리김밥 경주본점,음식점 > 분식,경북 경주시 탑리3길 2,http://place.map.kakao.com/11807645,,129.2107891117208,35.82169290821779,FD6
2,경주,FAMOUS,B,1,5,동궁과 월지,3,S1_4,동궁과월지,"여행 > 관광,명소 > 연못",경북 경주시 원화로 102,http://place.map.kakao.com/8179010,,129.226975518857,35.8347762643542,
2,경주,FAMOUS,B,2,0,대릉원,8,S8_10,대릉원,"여행 > 관광,명소 > 문화유적 > 릉,묘,총",경북 경주시 황남동 31-1,http://place.map.kakao.com/8288444,,129.21333399231364,35.83819105876201,
2,경주,FAMOUS,B,2,1,첨성대,8,S8_10,첨성대,"여행 > 관광,명소 > 문화유적",경북 경주시 인왕동 839-1,http://place.map.kakao.com/8089382,,129.21900018259583,35.83471481233599,
2,경주,FAMOUS,B,2,2,향화정,10,S8_10,향화정,음식점 > 한식,경북 경주시 사정로57번길 17,http://place.map.kakao.com/632306474,,129.209192577739,35.8380095983727,FD6
2,경주,FAMOUS,B,2,3,황리단길,10,S8_10,황리단길,"여행 > 관광,명소 > 테마거리 > 카페거리",경북 경주시 태종로 746,http://place.map.kakao.com/627627078,,129.209645417434,35.8393348165945,AT4
2,경주,FAMOUS,B,2,4,대릉원사진관,-3,NAME_MISMATCH,,,,,대릉원흑백사진관,,,
2,경주,FAMOUS,B,2,5,월정교,10,S8_10,월정교,"음식점 > 한식 > 해물,생선",경북 경주시 감포읍 동해안로 1890,http://place.map.kakao.com/1613134148,,129.494138377529,35.7773018587763,FD6
2,경주,FAMOUS,B,2,6,함양집,10,S8_10,함양집 경주보문점,음식점 > 한식,경북 경주시 북군1길 10-1,http://place.map.kakao.com/17399928,,129.262183765744,35.8520273426589,FD6
2,경주,FAMOUS,B,3,0,보문호반길,-1,NO_RESULT,,,,,,,,
2,경주,FAMOUS,B,3,1,동궁원,10,S8_10,경주동궁원,"여행 > 관광,명소 > 수목원,식물원",경북 경주시 보문로 74-14,http://place.map.kakao.com/19464673,,129.26166060389696,35.849507092525485,AT4
2,경주,FAMOUS,B,3,2,보문뜰,10,S8_10,보문뜰,음식점 > 한식 > 한정식,경북 경주시 경감로 142-3,http://place.map.kakao.com/25968394,,129.25170633678914,35.842684067348976,FD6
2,경주,FAMOUS,B,3,3,주렁주렁 경주점,10,S8_10,주렁주렁 경주점,"여행 > 관광,명소 > 동물원 > 실내동물원",경북 경주시 엑스포로 80,http://place.map.kakao.com/26848872,,129.28982987710802,35.8344982844486,AT4
2,경주,FAMOUS,B,3,4,카페 아덴,-3,NAME_MISMATCH,,,,,아덴 보문호수점,,,
2,경주,FAMOUS,B,3,5,경주중앙시장,8,S8_10,경주중앙시장,"가정,생활 > 시장",경북 경주시 금성로 295,http://place.map.kakao.com/2136388558,,129.20674378595027,35.843961867137544,
4,부산,FAMOUS,A,1,0,해운대해수욕장,10,S8_10,해운대해수욕장,"여행 > 관광,명소 > 해수욕장,해변",부산 해운대구 우동,http://place.map.kakao.com/7913306,,129.159854668484,35.1585232170784,AT4
4,부산,FAMOUS,A,1,1,동백섬,10,S8_10,동백섬,"여행 > 관광,명소 > 섬 > 섬(내륙)",부산 해운대구 우동 708-3,http://place.map.kakao.com/8257954,,129.152289970167,35.1539431141198,AT4
4,부산,FAMOUS,A,1,2,상국이네,10,S8_10,상국이네,음식점 > 분식,부산 해운대구 구남로41번길 40-1,http://place.map.kakao.com/9089301,,129.16287693095907,35.162016169133,FD6
4,부산,FAMOUS,A,1,3,해리단길,10,S8_10,해리단길,"여행 > 관광,명소 > 테마거리",부산 해운대구 우동 517-14,http://place.map.kakao.com/2101481584,,129.157908776659,35.1651110146752,AT4
4,부산,FAMOUS,A,1,4,더베이101,8,S8_10,더베이101,"문화,예술 > 문화시설",부산 해운대구 동백로 52,http://place.map.kakao.com/27457865,,129.152021092751,35.1565648156251,
4,부산,FAMOUS,A,1,5,해운대원조할매국밥,10,S8_10,해운대원조할매국밥,음식점 > 한식 > 국밥,부산 해운대구 구남로21번길 33,http://place.map.kakao.com/367285394,,129.1613417627714,35.163301573016895,FD6
4,부산,FAMOUS,A,2,0,흰여울문화마을,8,S8_10,흰여울문화마을,"여행 > 관광,명소",부산 영도구 영선동4가 605-3,http://place.map.kakao.com/22875776,,129.0437540909888,35.07944374604049,
4,부산,FAMOUS,A,2,1,남포동 비빔당면,-3,NAME_MISMATCH,,,,,깡통골목 원조비빔당면,,,
4,부산,FAMOUS,A,2,2,국제시장,8,S8_10,국제시장,"가정,생활 > 시장",부산 중구 신창동4가 56-4,http://place.map.kakao.com/20543715,,129.02818525258604,35.101319053986096,
4,부산,FAMOUS,A,2,3,부평깡통시장,8,S8_10,부평깡통시장,"가정,생활 > 시장",부산 중구 부평동2가 82,http://place.map.kakao.com/837490557,,129.02586215783472,35.10182652099438,
4,부산,FAMOUS,A,2,4,용두산공원 부산타워,10,S8_10,부산타워,"여행 > 관광,명소 > 전망대",부산 중구 용두산길 37-30,http://place.map.kakao.com/1534486834,,129.03232871480225,35.10121449509689,AT4
4,부산,FAMOUS,A,2,5,개미집 남포점,-1,NO_RESULT,,,,,,,,
4,부산,FAMOUS,A,3,0,광안리해수욕장,10,S8_10,광안리해수욕장,"여행 > 관광,명소 > 해수욕장,해변",부산 수영구 광안해변로 219,http://place.map.kakao.com/8202423,,129.118976093583,35.1531932736837,AT4
4,부산,FAMOUS,A,3,1,광안리 카페거리,5,S5_7,광안리카페거리,"여행 > 관광,명소 > 테마거리 > 카페거리",부산 수영구 광안동 205,http://place.map.kakao.com/8668857,,129.116357196067,35.1508708395273,AT4
