requestId,location,regionTier,keywordSet,day,placeIndex,aiPlaceName,bestScore,scoreBand,matchedPlaceName,matchedCategory,matchedAddress,matchedPlaceUrl,rejectedCandidateName,matchedX,matchedY,matchedCategoryGroupCode
1,경주,FAMOUS,A,1,0,경주 동부 사적지대,8,S8_10,경주 동부 사적지대,"여행 > 관광,명소 > 문화유적 > 유적지",경북 경주시 황남동 104-1,http://place.map.kakao.com/12629551,,129.21793616052602,35.83536699603137,
1,경주,FAMOUS,A,1,1,경주 황남리 고분군,3,S1_4,황남리고분군,"여행 > 관광,명소 > 문화유적 > 릉,묘,총",경북 경주시 계림로 9,http://place.map.kakao.com/8179016,,129.21319151973745,35.83983358560991,
1,경주,FAMOUS,A,1,2,고도리,10,S8_10,고도리,음식점 > 술집,경북 경주시 포석로 1074,http://place.map.kakao.com/349223979,,129.209789251684,35.8367416643224,FD6
1,경주,FAMOUS,A,1,3,무궁미가,8,S8_10,무궁미가,여행 > 기념품판매,경북 경주시 포석로1095번길 6,http://place.map.kakao.com/1900128504,,129.20927011234116,35.83881010301124,
1,경주,FAMOUS,A,1,4,양지다방,10,S8_10,양지다방,음식점 > 카페,경북 경주시 사정로57번길 7-2,http://place.map.kakao.com/599889357,,129.209207485633,35.8372704666191,CE7
1,경주,FAMOUS,A,1,5,큰기와 황리단길 본점,-1,NO_RESULT,,,,,,,,
1,경주,FAMOUS,A,2,0,월정교,10,S8_10,월정교,"음식점 > 한식 > 해물,생선",경북 경주시 감포읍 동해안로 1890,http://place.map.kakao.com/1613134148,,129.494138377529,35.7773018587763,FD6
1,경주,FAMOUS,A,2,1,교촌마을,8,S8_10,교촌,부동산 > 지명,경북 경주시 교동,http://place.map.kakao.com/25182534,,129.217092468907,35.8300213535354,
1,경주,FAMOUS,A,2,2,경주계림,10,S8_10,경주계림,"여행 > 관광,명소 > 숲",경북 경주시 교동 1,http://place.map.kakao.com/8183204,,129.218916244204,35.8325754812219,AT4
1,경주,FAMOUS,A,2,3,황남빵,10,S8_10,황남빵,"음식점 > 간식 > 제과,베이커리",경북 경주시 태종로 783,http://place.map.kakao.com/26519092,,129.21364442351,35.8408398161359,FD6
1,경주,FAMOUS,A,3,0,신라왕경숲,8,S8_10,신라왕경숲,여행 > 공원,경북 경주시 구황동 883-44,http://place.map.kakao.com/27572563,,129.238822569371,35.8399154335654,
1,경주,FAMOUS,A,3,1,경주동궁원,10,S8_10,경주동궁원,"여행 > 관광,명소 > 수목원,식물원",경북 경주시 보문로 74-14,http://place.map.kakao.com/19464673,,129.26166060389696,35.849507092525485,AT4
1,경주,FAMOUS,A,3,2,맷돌순두부,10,S8_10,맷돌순두부,음식점 > 한식 > 두부전문점,경북 경주시 북군길 7,http://place.map.kakao.com/10341223,,129.262849554884,35.851776927027,FD6
1,경주,FAMOUS,A,3,3,경주레저,8,S8_10,경주레저,"스포츠,레저 > 스포츠시설",경북 경주시 보문로 4-72,http://place.map.kakao.com/19760587,,129.2656058420282,35.84879930737125,
1,경주,FAMOUS,A,3,4,아덴,10,S8_10,아덴 보문호수점,음식점 > 카페 > 테마카페 > 디저트카페,경북 경주시 한국관광1번로 34,http://place.map.kakao.com/425270187,,129.28367743254475,35.84313285674398,CE7
1,경주,FAMOUS,A,3,5,낙지마실,10,S8_10,낙지마실,"음식점 > 한식 > 해물,생선",경북 경주시 북군길 9,http://place.map.kakao.com/9729398,,129.2629476350143,35.851645330156884,FD6
2,경주,FAMOUS,B,1,0,경주 버드파크,5,S5_7,경주버드파크,"여행 > 관광,명소 > 테마파크",경북 경주시 보문로 74-14,http://place.map.kakao.com/22836504,,129.26136419785396,35.84928020700084,AT4
2,경주,FAMOUS,B,1,1,아빠피자 한화리조트경주점,-1,NO_RESULT,,,,,,,,
2,경주,FAMOUS,B,1,2,엘로우,10,S8_10,엘로우,음식점 > 카페,경북 경주시 경감로 375-16,http://place.map.kakao.com/1657634396,,129.27175177011577,35.84516648354257,CE7
2,경주,FAMOUS,B,1,3,보문호,10,S8_10,보문호,"여행 > 관광,명소 > 호수",경북 경주시 신평동 719-1,http://place.map.kakao.com/7891771,,129.27753795591485,35.84460638582451,AT4
2,경주,FAMOUS,B,1,4,아임맛,10,S8_10,아임맛,음식점 > 한식,경북 경주시 엑스포로 80,http://place.map.kakao.com/389188743,,129.289863734585,35.8345598101658,FD6
2,경주,FAMOUS,B,1,5,경주엑스포대공원,8,S8_10,경주엑스포대공원,여행 > 공원 > 도시근린공원,경북 경주시 경감로 614,http://place.map.kakao.com/23853687,,129.28834791643507,35.83086563680756,
2,경주,FAMOUS,B,2,0,토함산,10,S8_10,토함산,"여행 > 관광,명소 > 산",경북 경주시 마동 산 1-1,http://place.map.kakao.com/8107208,,129.34523390026058,35.80177195761822,AT4
2,경주,FAMOUS,B,2,1,불국사,8,S8_10,불국사,"문화,예술 > 종교 > 불교 > 절,사찰",경북 경주시 불국로 385,http://place.map.kakao.com/12760573,,129.3318426090494,35.78991466172384,
2,경주,FAMOUS,B,2,2,내류사,10,S8_10,내류사,음식점 > 카페,경북 경주시 영불로 263-7,http://place.map.kakao.com/1256052575,,129.328659098998,35.7853784406057,CE7
2,경주,FAMOUS,B,2,3,늘봄,10,S8_10,늘봄,음식점 > 한식 > 쌈밥,경북 경주시 보불로 107,http://place.map.kakao.com/26900498,,129.313037428026,35.7938146136754,FD6
2,경주,FAMOUS,B,2,4,대산도예,8,S8_10,대산도예,"문화,예술 > 미술,공예 > 도자기",경북 경주시 하동공예촌길 12-5,http://place.map.kakao.com/16460987,,129.3112589786375,35.8049549336038,
2,경주,FAMOUS,B,2,5,자연애곤드레 경주불국사본점,-1,NO_RESULT,,,,,,,,
2,경주,FAMOUS,B,3,0,송대말 등대,3,S1_4,송대말등대,"교통,수송 > 교통시설 > 등대",경북 경주시 감포읍 감포로 226-19,http://place.map.kakao.com/9865973,,129.5113556677616,35.80722828526161,
2,경주,FAMOUS,B,3,1,커피다루다,10,S8_10,커피다루다,음식점 > 카페,경북 경주시 감포읍 동해안로 1708,http://place.map.kakao.com/440172661,,129.493121342499,35.7614474086665,CE7
