requestId,location,regionTier,keywordSet,day,placeCount,mealCount,beforeKm,afterKm,shortestKm,reductionPct,concessionKm,beforeKmPerLeg,afterKmPerLeg,beforeCrossings,afterCrossings,beforeBacktracks,afterBacktracks,beforeEndTime,afterEndTime
1,경주,FAMOUS,A,1,6,2,1.6061,1.2629,1.2629,21.37,0.0000,0.3212,0.2526,0,0,3,0,18:45,20:00
1,경주,FAMOUS,A,2,6,2,27.7136,27.9345,27.6080,-0.80,0.3265,5.5427,5.5869,1,1,2,1,20:15,20:15
1,경주,FAMOUS,A,3,6,2,5.7829,3.3760,3.1934,41.62,0.1826,1.1566,0.6752,2,0,4,1,18:45,18:45
2,경주,FAMOUS,B,1,6,2,9.9627,9.9519,7.5000,0.11,2.4519,1.9925,1.9904,0,0,2,3,18:45,18:45
2,경주,FAMOUS,B,2,6,2,9.7709,8.0122,8.0122,18.00,0.0000,1.9542,1.6024,1,0,2,1,18:45,18:45
2,경주,FAMOUS,B,3,6,2,20.2494,13.5756,10.6875,32.96,2.8881,4.0499,2.7151,0,0,2,1,18:45,18:45
3,경주,FAMOUS,C,1,6,2,3.5860,2.9109,2.5134,18.82,0.3975,0.7172,0.5822,0,0,3,3,19:55,18:45
3,경주,FAMOUS,C,2,6,2,9.6528,6.1106,5.3464,36.70,0.7642,1.9306,1.2221,1,0,2,2,18:45,18:45
3,경주,FAMOUS,C,3,6,2,14.9782,9.5415,7.2721,36.30,2.2694,2.9956,1.9083,2,1,3,2,18:45,20:00
4,부산,FAMOUS,A,1,6,2,4.0051,2.4287,2.4287,39.36,0.0000,0.8010,0.4857,0,0,2,1,18:45,18:45
4,부산,FAMOUS,A,2,6,2,4.2632,3.3811,3.1143,20.69,0.2668,0.8526,0.6762,0,0,2,2,18:45,18:45
4,부산,FAMOUS,A,3,6,2,3.4503,2.9130,2.1878,15.57,0.7252,0.6901,0.5826,0,1,2,2,18:45,18:45
5,부산,FAMOUS,B,1,6,2,14.8662,10.8548,7.6841,26.98,3.1707,2.9732,2.1710,0,1,3,3,18:45,18:45
5,부산,FAMOUS,B,2,6,2,6.6351,5.4461,3.3077,17.92,2.1384,1.3270,1.0892,3,0,3,2,18:45,18:45
5,부산,FAMOUS,B,3,6,2,7.9590,4.4743,4.4743,43.78,0.0000,1.5918,0.8949,3,0,4,1,18:45,18:45
6,부산,FAMOUS,C,1,6,2,3.8732,2.9012,2.6028,25.10,0.2983,0.7746,0.5802,0,1,3,2,19:15,20:00
6,부산,FAMOUS,C,2,6,2,6.3222,2.2666,2.2666,64.15,0.0000,1.2644,0.4533,1,0,4,0,18:45,18:45
6,부산,FAMOUS,C,3,6,2,2.1848,1.4746,1.4061,32.51,0.0685,0.4370,0.2949,1,0,3,2,18:45,20:00
7,제주,FAMOUS,A,1,5,1,1.8586,1.0466,1.0466,43.69,0.0000,0.4647,0.2617,0,0,2,0,16:40,16:50
7,제주,FAMOUS,A,2,6,2,5.9798,4.0785,3.1983,31.80,0.8802,1.1960,0.8157,3,0,4,2,18:45,18:45
7,제주,FAMOUS,A,3,6,2,3.1881,2.4350,1.4961,23.62,0.9389,0.6376,0.4870,4,0,2,2,18:45,18:45
8,제주,FAMOUS,B,1,6,2,9.5297,6.4221,6.0700,32.61,0.3521,1.9059,1.2844,0,0,2,1,18:45,18:45
8,제주,FAMOUS,B,2,6,2,7.7937,5.8807,5.3070,24.55,0.5737,1.5587,1.1761,2,0,4,1,18:45,18:45
8,제주,FAMOUS,B,3,6,2,12.3837,7.9914,6.9830,35.47,1.0084,2.4767,1.5983,2,1,4,2,18:45,18:45
